name,party
George Washington, none
John Adams,Federalist
Thomas Jefferson,Democratic-Republican
James Madison,Democratic-Republican
James Monroe,Democratic-Republican
John Quincy Adams,Democratic-Republican
Andrew Jackson,Democratic
Martin van Buren,Democratic
William Henry Harrison,Whig
John Tyler,Whig
James Polk,Democratic
Zachary Taylor,Whig
Millard Fillmore,Whig
Franklin Pierce,Democratic
James Buchanan,Democratic
Abraham Lincoln,Republican
Andrew Johnson,Democratic/National Union
Ulysses S. Grant,Republican
Rutherford B. Hayes,Republican
James Abram Garfield,Republican
Chester A. Arthur,Republican
Benjamin Harrison,Republican
Grover Cleveland,Democratic
William McKinley,Republican
Theodore Roosevelt,Republican
William H. Taft,Republican
Woodrow Wilson,Democratic
Warren Harding,Republican
Calvin Coolidge,Republican
Herbert Hoover,Republican
Franklin D. Roosevelt,Democratic
Harry S. Truman,Democratic
Dwight D. Eisenhower,Republican
John F. Kennedy,Democratic
Lyndon B. Johnson,Democratic
Richard Nixon,Republican
Gerald R. Ford,Republican
Jimmy Carter,Democratic
Ronald Reagan,Republican
George H.W. Bush,Republican
William J. Clinton,Democratic
George W. Bush,Republican
Barack Obama,Democratic
